ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
Fc gamma R-mediated phagocytosis	28.0	40.0	33.0	19.0	14.0	26.0	26.0	23.0	21.0	25.0	16.0	27.0	23.0	14.0	47.0	27.0	23.0	18.0	Organismal Systems; Immune System; Fc gamma R-mediated phagocytosis
Flagellar assembly	127531.0	106441.0	137319.0	139005.0	176602.0	143405.0	112373.0	97739.0	109024.0	115567.0	124808.0	110092.0	118919.0	149656.0	121810.0	126150.0	131244.0	124694.0	Cellular Processes; Cell Motility; Flagellar assembly
Flavone and flavonol biosynthesis	252.0	285.0	295.0	310.0	358.0	341.0	358.0	345.0	241.0	291.0	315.0	353.0	285.0	272.0	274.0	248.0	309.0	282.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavone and flavonol biosynthesis
Flavonoid biosynthesis	3061.0	3969.0	3458.0	3078.0	2654.0	3295.0	4724.0	4036.0	3899.0	3640.0	4317.0	4558.0	4263.0	3789.0	4252.0	3886.0	4336.0	3659.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavonoid biosynthesis
Fluorobenzoate degradation	12711.0	13148.0	15368.0	14343.0	16598.0	14395.0	12725.0	11498.0	11221.0	12124.0	13648.0	12296.0	13206.0	14320.0	13057.0	13753.0	14635.0	13290.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Fluorobenzoate degradation
Focal adhesion	52.0	55.0	41.0	26.0	29.0	38.0	70.0	47.0	55.0	47.0	53.0	68.0	51.0	35.0	56.0	40.0	46.0	52.0	Cellular Processes; Cell Communication; Focal adhesion
Folate biosynthesis	72287.0	70044.0	81368.0	77336.0	90423.0	77786.0	72895.0	66189.0	69605.0	71377.0	77713.0	70380.0	76565.0	86323.0	76615.0	77737.0	82884.0	76522.0	Metabolism; Metabolism of Cofactors and Vitamins; Folate biosynthesis
Fructose and mannose metabolism	83407.0	85158.0	96663.0	91066.0	104267.0	89690.0	86730.0	80263.0	81907.0	83304.0	92541.0	83741.0	91227.0	99467.0	90420.0	91927.0	98594.0	89676.0	Metabolism; Carbohydrate Metabolism; Fructose and mannose metabolism
Function unknown	289007.0	266918.0	318531.0	309205.0	373816.0	311654.0	272992.0	246630.0	268276.0	278400.0	298456.0	264116.0	295753.0	343198.0	293014.0	302548.0	323222.0	295082.0	Unclassified; Poorly Characterized; Function unknown
G protein-coupled receptors	1.0	8.0	3.0	3.0	1.0	5.0	8.0	7.0	3.0	4.0	12.0	10.0	5.0	3.0	5.0	6.0	10.0	4.0	Environmental Information Processing; Signaling Molecules and Interaction; G protein-coupled receptors
GTP-binding proteins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing; Signaling Molecules and Interaction; GTP-binding proteins
Galactose metabolism	48804.0	54791.0	57002.0	55318.0	56756.0	53873.0	52726.0	49905.0	51684.0	50262.0	55929.0	51907.0	56023.0	56981.0	54324.0	56011.0	59884.0	54211.0	Metabolism; Carbohydrate Metabolism; Galactose metabolism
Gastric acid secretion	2.0	4.0	2.0	1.0	4.0	4.0	4.0	2.0	4.0	1.0	4.0	2.0	2.0	4.0	3.0	5.0	5.0	2.0	Organismal Systems; Digestive System; Gastric acid secretion
General function prediction only	598584.0	594289.0	675662.0	647288.0	748184.0	646980.0	598302.0	553345.0	580328.0	590717.0	643640.0	581994.0	640990.0	709150.0	630990.0	645827.0	696158.0	631315.0	Unclassified; Poorly Characterized; General function prediction only
Geraniol degradation	91893.0	100306.0	109485.0	101391.0	110197.0	99750.0	88445.0	84932.0	84352.0	88120.0	96829.0	85546.0	95405.0	98921.0	95335.0	99274.0	105645.0	96984.0	Metabolism; Metabolism of Terpenoids and Polyketides; Geraniol degradation
Germination	482.0	543.0	402.0	1470.0	255.0	642.0	1302.0	883.0	710.0	977.0	511.0	1282.0	289.0	212.0	371.0	316.0	209.0	392.0	Unclassified; Cellular Processes and Signaling; Germination
Glioma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Human Diseases; Cancers; Glioma
Glutamatergic synapse	14516.0	15013.0	16788.0	15927.0	17673.0	15614.0	14862.0	13913.0	14138.0	14514.0	16047.0	14492.0	15688.0	17020.0	15609.0	15923.0	17309.0	15524.0	Organismal Systems; Nervous System; Glutamatergic synapse
Glutathione metabolism	94859.0	86859.0	105599.0	101830.0	123207.0	104861.0	89372.0	77460.0	83942.0	88315.0	96819.0	85350.0	93613.0	108904.0	94071.0	96672.0	102951.0	94987.0	Metabolism; Metabolism of Other Amino Acids; Glutathione metabolism
Glycan bindng proteins	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	Environmental Information Processing; Signaling Molecules and Interaction; Glycan bindng proteins
Glycan biosynthesis and metabolism	12197.0	9445.0	12210.0	12341.0	16302.0	13059.0	10823.0	8593.0	10315.0	11049.0	11862.0	10410.0	11472.0	14536.0	11796.0	12073.0	12581.0	11723.0	Unclassified; Metabolism; Glycan biosynthesis and metabolism
Glycerolipid metabolism	51254.0	55995.0	61288.0	58164.0	62611.0	56605.0	52989.0	50566.0	51106.0	51643.0	57476.0	52129.0	57020.0	59085.0	56030.0	57465.0	62323.0	56170.0	Metabolism; Lipid Metabolism; Glycerolipid metabolism
Glycerophospholipid metabolism	85431.0	82584.0	95156.0	92033.0	107678.0	93193.0	83679.0	76242.0	81211.0	83106.0	90305.0	81173.0	88534.0	100017.0	89114.0	90798.0	96089.0	89017.0	Metabolism; Lipid Metabolism; Glycerophospholipid metabolism
Glycine, serine and threonine metabolism	160249.0	162330.0	185440.0	177318.0	201415.0	176450.0	158209.0	148231.0	154122.0	157969.0	171045.0	153308.0	169901.0	185855.0	167270.0	173154.0	184232.0	169650.0	Metabolism; Amino Acid Metabolism; Glycine, serine and threonine metabolism
Glycolysis / Gluconeogenesis	176863.0	179510.0	203649.0	193088.0	220071.0	188750.0	176843.0	164851.0	171957.0	174129.0	190581.0	171605.0	191764.0	210121.0	187314.0	193009.0	207504.0	188416.0	Metabolism; Carbohydrate Metabolism; Glycolysis / Gluconeogenesis
Glycosaminoglycan biosynthesis - chondroitin sulfate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate
Glycosaminoglycan degradation	2282.0	3169.0	3043.0	2810.0	2485.0	2513.0	2962.0	3036.0	2977.0	2733.0	3097.0	3034.0	3035.0	2869.0	2799.0	3126.0	3287.0	2885.0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosaminoglycan degradation
Glycosphingolipid biosynthesis - ganglio series	1665.0	2338.0	2094.0	2054.0	1793.0	1767.0	1924.0	1905.0	2127.0	2004.0	2096.0	1877.0	2196.0	2118.0	2029.0	2317.0	2507.0	2047.0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - ganglio series
Glycosphingolipid biosynthesis - globo series	3729.0	5420.0	4618.0	4613.0	3696.0	3995.0	4389.0	4418.0	4934.0	4446.0	4792.0	4432.0	5033.0	4605.0	4526.0	5197.0	5986.0	4630.0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - globo series
Glycosphingolipid biosynthesis - lacto and neolacto series	80.0	43.0	56.0	147.0	100.0	147.0	34.0	23.0	109.0	66.0	47.0	54.0	122.0	174.0	55.0	66.0	95.0	56.0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	1.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
Glycosyltransferases	52676.0	53402.0	60572.0	56960.0	64755.0	57608.0	57328.0	51388.0	52770.0	53327.0	60054.0	55554.0	58872.0	63495.0	58712.0	58938.0	63450.0	57683.0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosyltransferases
Glyoxylate and dicarboxylate metabolism	184717.0	169757.0	204919.0	197921.0	243139.0	196141.0	166663.0	150568.0	163669.0	172116.0	184381.0	159218.0	185218.0	217402.0	181948.0	190332.0	203567.0	185098.0	Metabolism; Carbohydrate Metabolism; Glyoxylate and dicarboxylate metabolism
GnRH signaling pathway	28.0	40.0	33.0	19.0	14.0	26.0	26.0	23.0	21.0	25.0	16.0	27.0	23.0	14.0	47.0	28.0	23.0	18.0	Organismal Systems; Endocrine System; GnRH signaling pathway
Hedgehog signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing; Signal Transduction; Hedgehog signaling pathway
Hematopoietic cell lineage	28.0	34.0	28.0	16.0	8.0	12.0	24.0	19.0	16.0	20.0	16.0	18.0	20.0	12.0	32.0	18.0	19.0	14.0	Organismal Systems; Immune System; Hematopoietic cell lineage
Hepatitis C	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	Human Diseases; Infectious Diseases; Hepatitis C
Histidine metabolism	90370.0	94511.0	106207.0	100445.0	111238.0	99754.0	92894.0	86858.0	88562.0	90392.0	99111.0	90448.0	97744.0	103998.0	97459.0	98856.0	104652.0	98078.0	Metabolism; Amino Acid Metabolism; Histidine metabolism
Homologous recombination	102030.0	98953.0	115213.0	108640.0	127185.0	108762.0	103474.0	94758.0	99377.0	100858.0	110196.0	99789.0	108572.0	122217.0	109379.0	109878.0	116835.0	109152.0	Genetic Information Processing; Replication and Repair; Homologous recombination
Huntington's disease	20386.0	17557.0	23065.0	21951.0	27786.0	22672.0	18882.0	16081.0	17241.0	18554.0	20661.0	18091.0	18967.0	22950.0	19826.0	20477.0	21205.0	20355.0	Human Diseases; Neurodegenerative Diseases; Huntington's disease
Hypertrophic cardiomyopathy (HCM)	429.0	406.0	426.0	420.0	457.0	559.0	469.0	363.0	368.0	417.0	521.0	451.0	377.0	374.0	455.0	417.0	431.0	470.0	Human Diseases; Cardiovascular Diseases; Hypertrophic cardiomyopathy (HCM)
Indole alkaloid biosynthesis	686.0	786.0	822.0	807.0	764.0	835.0	732.0	618.0	620.0	674.0	686.0	655.0	768.0	691.0	717.0	674.0	652.0	771.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Indole alkaloid biosynthesis
Influenza A	2268.0	2317.0	3256.0	2731.0	3332.0	2901.0	2444.0	2128.0	1784.0	2018.0	2568.0	2269.0	1905.0	2075.0	2141.0	2361.0	2303.0	2306.0	Human Diseases; Infectious Diseases; Influenza A
Inorganic ion transport and metabolism	67343.0	63376.0	75042.0	71820.0	85704.0	72212.0	64253.0	57779.0	61603.0	64661.0	69671.0	61679.0	67572.0	77762.0	68245.0	70601.0	74036.0	69715.0	Unclassified; Cellular Processes and Signaling; Inorganic ion transport and metabolism
Inositol phosphate metabolism	35348.0	38821.0	41641.0	40957.0	43568.0	40012.0	35628.0	33849.0	34059.0	34968.0	38442.0	34698.0	38671.0	40752.0	37131.0	39191.0	42622.0	38331.0	Metabolism; Carbohydrate Metabolism; Inositol phosphate metabolism
Insulin signaling pathway	11928.0	10789.0	12937.0	12251.0	15351.0	12394.0	12058.0	10447.0	11457.0	11635.0	13032.0	11642.0	13258.0	15224.0	12919.0	12788.0	14295.0	12243.0	Organismal Systems; Endocrine System; Insulin signaling pathway
Ion channels	2232.0	2976.0	3071.0	2898.0	2650.0	2626.0	2943.0	3011.0	2829.0	2708.0	2946.0	2870.0	3185.0	2856.0	2948.0	2940.0	3216.0	2935.0	Environmental Information Processing; Signaling Molecules and Interaction; Ion channels
Isoflavonoid biosynthesis	75.0	107.0	70.0	47.0	40.0	59.0	133.0	100.0	88.0	87.0	89.0	119.0	76.0	85.0	88.0	101.0	105.0	77.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Isoflavonoid biosynthesis
Isoquinoline alkaloid biosynthesis	10284.0	9906.0	11942.0	11301.0	13230.0	11302.0	9945.0	9021.0	9791.0	10186.0	10753.0	9635.0	10563.0	11670.0	10478.0	10751.0	11300.0	10619.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Isoquinoline alkaloid biosynthesis
Leishmaniasis	22.0	34.0	8.0	44.0	11.0	18.0	19.0	34.0	14.0	23.0	23.0	32.0	32.0	38.0	22.0	29.0	47.0	21.0	Human Diseases; Infectious Diseases; Leishmaniasis
Leukocyte transendothelial migration	35.0	36.0	19.0	24.0	25.0	32.0	61.0	35.0	35.0	36.0	47.0	52.0	42.0	29.0	49.0	31.0	35.0	41.0	Organismal Systems; Immune System; Leukocyte transendothelial migration
Limonene and pinene degradation	89356.0	101654.0	109610.0	101641.0	106386.0	98922.0	88908.0	85685.0	83222.0	86940.0	95731.0	85980.0	95129.0	95322.0	94528.0	97985.0	103772.0	95967.0	Metabolism; Metabolism of Terpenoids and Polyketides; Limonene and pinene degradation
Linoleic acid metabolism	12552.0	13342.0	15014.0	14056.0	15444.0	14119.0	12430.0	11490.0	11560.0	12089.0	13393.0	11919.0	12639.0	13474.0	12945.0	13496.0	14168.0	13161.0	Metabolism; Lipid Metabolism; Linoleic acid metabolism
Lipid biosynthesis proteins	150303.0	157558.0	173582.0	165164.0	182121.0	163503.0	151027.0	141136.0	145652.0	148405.0	161927.0	146348.0	161894.0	173083.0	159654.0	165019.0	176789.0	160990.0	Metabolism; Lipid Metabolism; Lipid biosynthesis proteins
Lipid metabolism	33582.0	28253.0	34197.0	34383.0	43556.0	34401.0	29048.0	25569.0	29919.0	31576.0	32185.0	27956.0	34263.0	42095.0	32664.0	33957.0	37180.0	32093.0	Unclassified; Metabolism; Lipid metabolism
Lipoic acid metabolism	9726.0	9958.0	11085.0	10415.0	11919.0	10499.0	10824.0	9935.0	10002.0	9971.0	11329.0	10643.0	11152.0	12142.0	11031.0	11086.0	12168.0	10676.0	Metabolism; Metabolism of Cofactors and Vitamins; Lipoic acid metabolism
Lipopolysaccharide biosynthesis	50622.0	40972.0	52988.0	51311.0	67509.0	53185.0	48302.0	40962.0	46437.0	48677.0	51469.0	46475.0	50146.0	62341.0	51852.0	52547.0	54230.0	51348.0	Metabolism; Glycan Biosynthesis and Metabolism; Lipopolysaccharide biosynthesis
Lipopolysaccharide biosynthesis proteins	65596.0	53866.0	68855.0	67238.0	87967.0	69572.0	61951.0	52697.0	59727.0	63273.0	66270.0	59707.0	64745.0	80064.0	66341.0	67710.0	70142.0	66329.0	Metabolism; Glycan Biosynthesis and Metabolism; Lipopolysaccharide biosynthesis proteins
Long-term depression	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Nervous System; Long-term depression
Long-term potentiation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Organismal Systems; Nervous System; Long-term potentiation
Lysine biosynthesis	87191.0	89071.0	99842.0	94749.0	106891.0	95401.0	90994.0	84284.0	85850.0	87434.0	95978.0	88335.0	93427.0	101526.0	94242.0	95631.0	101164.0	94511.0	Metabolism; Amino Acid Metabolism; Lysine biosynthesis
Lysine degradation	109849.0	118563.0	130892.0	121927.0	133606.0	120598.0	106792.0	102398.0	101471.0	105791.0	116169.0	103243.0	114090.0	119640.0	114213.0	117907.0	124843.0	116178.0	Metabolism; Amino Acid Metabolism; Lysine degradation
Lysosome	4402.0	5931.0	5671.0	5165.0	4759.0	4855.0	5539.0	5861.0	5858.0	5378.0	5879.0	5774.0	5713.0	5467.0	5319.0	5837.0	6237.0	5367.0	Cellular Processes; Transport and Catabolism; Lysosome
MAPK signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing; Signal Transduction; MAPK signaling pathway
MAPK signaling pathway - yeast	11422.0	8788.0	11646.0	11659.0	15804.0	11659.0	9255.0	7690.0	9548.0	10217.0	10422.0	8812.0	10820.0	14100.0	10537.0	10903.0	11924.0	10403.0	Environmental Information Processing; Signal Transduction; MAPK signaling pathway - yeast
Measles	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	Human Diseases; Infectious Diseases; Measles
Meiosis - yeast	9135.0	10234.0	12426.0	11338.0	12328.0	11336.0	11284.0	9734.0	8604.0	9061.0	11876.0	11127.0	9829.0	10179.0	10424.0	10474.0	11323.0	10443.0	Cellular Processes; Cell Growth and Death; Meiosis - yeast
Melanogenesis	90.0	100.0	113.0	86.0	48.0	66.0	88.0	114.0	236.0	176.0	92.0	117.0	136.0	113.0	102.0	180.0	172.0	110.0	Organismal Systems; Endocrine System; Melanogenesis
Membrane and intracellular structural molecules	129584.0	108922.0	139942.0	136072.0	174239.0	141215.0	118310.0	102139.0	114832.0	121155.0	130216.0	113521.0	125232.0	154448.0	127836.0	132303.0	139376.0	129668.0	Unclassified; Cellular Processes and Signaling; Membrane and intracellular structural molecules
Metabolism of cofactors and vitamins	38517.0	35605.0	42907.0	40933.0	49890.0	40998.0	36207.0	32718.0	35233.0	36864.0	39614.0	34945.0	39048.0	45342.0	39023.0	40003.0	42701.0	39239.0	Unclassified; Metabolism; Metabolism of cofactors and vitamins
Metabolism of xenobiotics by cytochrome P450	45974.0	42887.0	52254.0	50495.0	60511.0	51777.0	43443.0	37255.0	39621.0	42439.0	47077.0	41765.0	45537.0	51840.0	45155.0	47164.0	50355.0	45783.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Metabolism of xenobiotics by cytochrome P450
Methane metabolism	197711.0	190983.0	222374.0	211947.0	251749.0	208451.0	189546.0	174605.0	184597.0	190540.0	206187.0	181980.0	208419.0	236270.0	205012.0	210262.0	225724.0	204864.0	Metabolism; Energy Metabolism; Methane metabolism
Mineral absorption	4843.0	3832.0	5007.0	5199.0	6702.0	4979.0	4451.0	3727.0	4580.0	4588.0	5046.0	4382.0	5471.0	6715.0	4991.0	5209.0	5955.0	4757.0	Organismal Systems; Digestive System; Mineral absorption
Mismatch repair	95051.0	93293.0	107592.0	101609.0	118519.0	101425.0	95923.0	87943.0	92338.0	93943.0	102633.0	92518.0	101270.0	113516.0	101722.0	102901.0	109682.0	101471.0	Genetic Information Processing; Replication and Repair; Mismatch repair
N-Glycan biosynthesis	3977.0	5217.0	5305.0	4415.0	4048.0	4362.0	5721.0	5664.0	5106.0	4606.0	5659.0	5608.0	5401.0	4919.0	5429.0	5326.0	5612.0	5215.0	Metabolism; Glycan Biosynthesis and Metabolism; N-Glycan biosynthesis
NOD-like receptor signaling pathway	3780.0	3481.0	4003.0	3941.0	4754.0	3967.0	3682.0	3311.0	3819.0	3773.0	4016.0	3593.0	4086.0	4647.0	4037.0	4075.0	4478.0	3901.0	Organismal Systems; Immune System; NOD-like receptor signaling pathway
Naphthalene degradation	55245.0	60388.0	67552.0	63084.0	68499.0	60658.0	54104.0	51413.0	51965.0	53344.0	58904.0	52607.0	59023.0	61088.0	57445.0	60687.0	65491.0	58867.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Naphthalene degradation
Neuroactive ligand-receptor interaction	68.0	69.0	81.0	52.0	31.0	44.0	52.0	77.0	172.0	101.0	68.0	66.0	96.0	81.0	74.0	143.0	107.0	78.0	Environmental Information Processing; Signaling Molecules and Interaction; Neuroactive ligand-receptor interaction
Neurotrophin signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Organismal Systems; Nervous System; Neurotrophin signaling pathway
Nicotinate and nicotinamide metabolism	63097.0	64650.0	73384.0	69733.0	79297.0	69654.0	64685.0	60127.0	61334.0	62279.0	69375.0	63027.0	67967.0	74221.0	67586.0	68692.0	73940.0	68308.0	Metabolism; Metabolism of Cofactors and Vitamins; Nicotinate and nicotinamide metabolism
Nitrogen metabolism	143464.0	139566.0	165241.0	158259.0	186143.0	157056.0	136317.0	125427.0	133507.0	137751.0	148923.0	131801.0	147713.0	166518.0	145784.0	150583.0	161736.0	148328.0	Metabolism; Energy Metabolism; Nitrogen metabolism
Nitrotoluene degradation	22123.0	24205.0	27920.0	25467.0	28013.0	24899.0	21803.0	20728.0	19978.0	20895.0	23713.0	20879.0	22819.0	23565.0	23023.0	23926.0	24764.0	24086.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Nitrotoluene degradation
Non-homologous end-joining	15780.0	17931.0	19170.0	18175.0	18872.0	17227.0	15250.0	14775.0	15239.0	15324.0	16955.0	14772.0	17010.0	17727.0	16662.0	17320.0	18745.0	17026.0	Genetic Information Processing; Replication and Repair; Non-homologous end-joining
Notch signaling pathway	6.0	8.0	7.0	4.0	4.0	8.0	24.0	14.0	12.0	9.0	10.0	20.0	7.0	8.0	10.0	12.0	7.0	9.0	Environmental Information Processing; Signal Transduction; Notch signaling pathway
Novobiocin biosynthesis	21162.0	20355.0	23506.0	22742.0	26839.0	22952.0	20869.0	18938.0	20063.0	20679.0	22624.0	20277.0	22066.0	24882.0	22244.0	22668.0	23843.0	22275.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Novobiocin biosynthesis
Nucleotide excision repair	55255.0	57290.0	63243.0	59806.0	66558.0	58707.0	55910.0	52672.0	54579.0	55078.0	60078.0	53963.0	59870.0	65399.0	59734.0	60501.0	64550.0	59630.0	Genetic Information Processing; Replication and Repair; Nucleotide excision repair
Nucleotide metabolism	4289.0	4130.0	4693.0	4776.0	5311.0	4678.0	3929.0	3531.0	4004.0	4040.0	4260.0	3805.0	4384.0	5086.0	4329.0	4610.0	4789.0	4392.0	Unclassified; Metabolism; Nucleotide metabolism
Olfactory transduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Organismal Systems; Sensory System; Olfactory transduction
One carbon pool by folate	74685.0	72777.0	85420.0	80789.0	94961.0	80361.0	75075.0	69506.0	72167.0	73877.0	80628.0	72444.0	79158.0	89608.0	79437.0	81002.0	85744.0	80025.0	Metabolism; Metabolism of Cofactors and Vitamins; One carbon pool by folate
Oocyte meiosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Cellular Processes; Cell Growth and Death; Oocyte meiosis
Other glycan degradation	5986.0	7899.0	7749.0	7438.0	6300.0	6435.0	7479.0	7331.0	8521.0	7618.0	7911.0	7642.0	8104.0	7945.0	7495.0	8574.0	9064.0	7404.0	Metabolism; Glycan Biosynthesis and Metabolism; Other glycan degradation
Other ion-coupled transporters	152660.0	148059.0	170160.0	164939.0	190422.0	165163.0	152674.0	137906.0	146423.0	151983.0	163220.0	149364.0	160665.0	179275.0	158898.0	163441.0	174327.0	159988.0	Unclassified; Cellular Processes and Signaling; Other ion-coupled transporters
Other transporters	35767.0	33851.0	39964.0	38338.0	46010.0	38749.0	36145.0	32707.0	34443.0	35516.0	38893.0	35102.0	38082.0	43591.0	38306.0	39068.0	41361.0	38575.0	Unclassified; Cellular Processes and Signaling; Other transporters
Other types of O-glycan biosynthesis	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism; Glycan Biosynthesis and Metabolism; Other types of O-glycan biosynthesis
Others	176728.0	176010.0	205013.0	192933.0	221595.0	190767.0	177707.0	163720.0	174555.0	176715.0	192303.0	173078.0	192022.0	213291.0	187035.0	192285.0	208886.0	185858.0	Unclassified; Metabolism; Others
Oxidative phosphorylation	228404.0	221749.0	258693.0	244824.0	287166.0	246512.0	231143.0	211169.0	221856.0	224205.0	247314.0	224589.0	241252.0	271999.0	243491.0	247045.0	261776.0	242290.0	Metabolism; Energy Metabolism; Oxidative phosphorylation
PPAR signaling pathway	45410.0	51075.0	54072.0	51099.0	53736.0	50231.0	44991.0	43817.0	43744.0	44118.0	49559.0	43998.0	49621.0	50549.0	48739.0	50249.0	53923.0	49278.0	Organismal Systems; Endocrine System; PPAR signaling pathway
Pancreatic cancer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Human Diseases; Cancers; Pancreatic cancer
Pancreatic secretion	70.0	73.0	83.0	53.0	35.0	48.0	56.0	79.0	176.0	102.0	72.0	68.0	98.0	85.0	77.0	147.0	112.0	80.0	Organismal Systems; Digestive System; Pancreatic secretion
Pantothenate and CoA biosynthesis	89104.0	88954.0	101122.0	96286.0	111204.0	96895.0	91294.0	83577.0	86058.0	87860.0	96962.0	88430.0	95421.0	105702.0	95241.0	96963.0	103370.0	94879.0	Metabolism; Metabolism of Cofactors and Vitamins; Pantothenate and CoA biosynthesis
Parkinson's disease	13354.0	10763.0	14886.0	14166.0	18685.0	14776.0	11441.0	9631.0	10545.0	11618.0	12781.0	10826.0	11621.0	14887.0	12247.0	12860.0	13238.0	12659.0	Human Diseases; Neurodegenerative Diseases; Parkinson's disease
Pathogenic Escherichia coli infection	35.0	36.0	19.0	24.0	25.0	32.0	61.0	35.0	35.0	36.0	47.0	52.0	42.0	29.0	49.0	31.0	35.0	41.0	Human Diseases; Infectious Diseases; Pathogenic Escherichia coli infection
Pathways in cancer	9833.0	9618.0	11399.0	10699.0	12573.0	10906.0	10176.0	9139.0	9222.0	9595.0	10830.0	9822.0	10092.0	11317.0	10328.0	10579.0	11218.0	10271.0	Human Diseases; Cancers; Pathways in cancer
Penicillin and cephalosporin biosynthesis	11544.0	12864.0	13165.0	13057.0	12745.0	12709.0	12211.0	11390.0	12047.0	11736.0	12768.0	11778.0	12959.0	13033.0	12700.0	13068.0	13147.0	12919.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Penicillin and cephalosporin biosynthesis
Pentose and glucuronate interconversions	58046.0	64445.0	69388.0	67082.0	71299.0	65442.0	60155.0	57732.0	57656.0	58461.0	65081.0	58932.0	63517.0	65518.0	62214.0	64323.0	69267.0	63373.0	Metabolism; Carbohydrate Metabolism; Pentose and glucuronate interconversions
Pentose phosphate pathway	106629.0	108549.0	122197.0	117045.0	132374.0	116620.0	109505.0	100033.0	104113.0	105421.0	116354.0	106038.0	115345.0	125118.0	113852.0	115976.0	125198.0	113714.0	Metabolism; Carbohydrate Metabolism; Pentose phosphate pathway
Peptidases	237442.0	237969.0	267817.0	256283.0	290962.0	260329.0	247063.0	223723.0	234069.0	235909.0	260779.0	239171.0	258213.0	282956.0	255924.0	259250.0	278764.0	253553.0	Metabolism; Enzyme Families; Peptidases
Peptidoglycan biosynthesis	94043.0	92085.0	105015.0	100423.0	116015.0	101696.0	96384.0	87250.0	91414.0	92932.0	101773.0	93034.0	99467.0	111179.0	100529.0	101497.0	107521.0	100177.0	Metabolism; Glycan Biosynthesis and Metabolism; Peptidoglycan biosynthesis
Peroxisome	55271.0	58056.0	64850.0	61176.0	67456.0	60702.0	54936.0	51649.0	52952.0	53914.0	59351.0	53068.0	58569.0	62438.0	58182.0	59807.0	63299.0	59266.0	Cellular Processes; Transport and Catabolism; Peroxisome
